"","V1","V2","V3","V4","V5","V6","V7"
"1","113100","1","A","1","단기매매금융자산","Short_Term_Trading_Financial_Assets","천원"
"2","113120","1","A","1","단기금융상품","Short_Term_Financial_Instruments","천원"
"3","113240","1","A","1","단기매도가능금융자산","Short_Term_Available_for_Sale_Financial_Assets","천원"
"4","113250","1","A","1","단기만기보유금융자산","Short_Term_Held_to_Maturity__Investments","천원"
"5","114490","1","A","1","당기손익-공정가치측정금융자산","Financial_Assets_Measured_at_Fair_Value_Through_Profit_or_Loss","천원"
"6","114520","1","A","1","기타포괄손익-공정가치측정금융자산","Financial_Assets_Measured_at_Fair_Value_Through_Other_Comprehensive_Income","천원"
"7","114530","1","A","1","상각후원가측정유가증권","Securities_at_Amortised_Cost","천원"
"8","114540","1","A","1","상각후원가측정금융자산","Financial_Assets_at_Amortised_Cost","천원"
"9","111000","0","M","20","자산총계","Total_Assets","천원"
"10","111100","0","M","20","유동자산","Current_Assets","천원"
"11","111300","0","M","20","현금및현금성자산","Cash_and_Cash_Equivalents","천원"
"12","111600","0","M","20","비유동자산","Non_current_Assets","천원"
"13","113000","0","M","20","부채총계","Total_Liabilities","천원"
"14","113100","0","M","20","유동부채","Current_Liabilities","천원"
"15","113800","0","M","20","이자발생부채","Interest_barings_Debt","천원"
"16","113900","0","M","20","순부채","Net_Debt","천원"
"17","115000","0","M","20","자본총계","Total_Stockholders_Equity","천원"
"18","115200","0","M","20","우선주자본금","Paid_in_Capital_Preferred","천원"
"19","121000","0","M","20","매출액","Sales","천원"
"20","121200","0","M","20","매출총이익","Gross_Profit","천원"
"21","121500","0","M","20","영업이익","Operating_Profit","천원"
"22","122500","0","M","20","세전계속사업이익","Pre_tax_Profit_from_Continuing_Operations","천원"
"23","122600","0","M","20","법인세비용","Income_Taxes","천원"
"24","122700","0","M","20","당기순이익","Net_Profit","천원"
"25","122710","0","M","20","당기순이익(지배)","Net_Profit_Owners_of_Parent_Equity","천원"
"26","123100","0","M","20","EBIT","EBIT","천원"
"27","123200","0","M","20","EBITDA2","EBITDA2","천원"
"28","124155","0","M","20","Free Cash Flow2","Free_Cash_Flow2","천원"
"29","131000","0","M","20","영업활동으로인한현금흐름","Cash_Flows_from_Operatings","천원"
"30","132020","0","M","20","감가상각비(현금흐름표)","Depreciation_Cash_Flow","천원"
"31","211000","0","M","20","영업이익률","Operating_ProfitSales","비율"
"32","211300","0","M","20","매출총이익률","Gross_Margin","비율"
"33","211500","0","M","20","ROE(지배)","ROE_Owners_of_Parent_Equity","비율"
"34","213000","0","M","20","EV","EV","천원"
"35","221100","0","M","20","부채비율","Total_DebtEquity","비율"
"36","231000","0","M","20","매출액증가율(YoY)","Sales_Growth_YoY","비율"
"37","231400","0","M","20","영업이익증가율(YoY)","Operating_Profit_Growth_YoY","비율"
"38","231800","0","M","20","순이익증가율(YoY)","Net_Profit_Growth_YoY","비율"
"39","312000","0","M","20","EPS(지배, Adj.)","EPS_Owners_of_Parent_Equity_Adj","원/주"
"40","314000","0","M","20","BPS(지배, Adj.)","BPS_Owners_of_Parent_Equity_Adj","원/주"
"41","331030","0","M","20","EV/EBITDA2","EVEBITDA2","배"
"42","382000","0","M","20","P/E(FY End)","PE_FY_End","배"
"43","382100","0","M","20","P/E(Adj., FY End)","PE_Adj_FY_End","배"
"44","382400","0","M","20","P/B(FY End)","PB_FY_End","배"
"45","382500","0","M","20","P/B(Adj., FY End)","PB_Adj_FY_End","배"
"46","423200","0","M","20","수정DPS(보통주, 기말현금)","DPS_Adj_Comm_Cash_FY_End","원/주"
"47","423400","0","M","20","수정DPS(보통주, 연간현금)","DPS_Adj_Comm_Cash","원/주"
"48","441300","0","M","20","현금배당액(보통주, 기말)","Cash_Dividend_Comm_FY_End","천원"
"49","441600","0","M","20","현금배당액(보통주, 연간)","Cash_Dividend_Comm","천원"
"50","701200","0","M","20","보통주기말발행주식수","Common_Shares_FY_End","주"
"51","702110","0","M","20","전체기말발행주식수","Shares_All_FY_End","주"
"52","121000","0","E","","매출액","Net_Sales","천원"
"53","121500","0","E","","영업이익","Operating_Profit","천원"
"54","122500","0","E","","세전계속사업이익","Pre_tax_Profit_from_Continuing_Operations","천원"
"55","122700","0","E","","당기순이익","Net_Profit","천원"
"56","122710","0","E","","당기순이익(지배)","Net_Profit_Owners","천원"
"57","211500","0","E","","ROE(지배)","ROE_Owners","비율"
"58","312000","0","E","","EPS(지배)","EPS_Owners","원/주"
"59","314000","0","E","","BPS(지배)","BPS_Owners","원/주"
"60","331000","0","E","","EV/EBITDA","EVEBITDA","배"
"61","382100","0","E","","P/E","PE","배"
"62","382500","0","E","","P/B","PB","배"
"63","423800","0","E","","수정DPS(보통주, 연간현금)","DPS_Adj_Comm_Cash","원/주"
"64","423900","0","E","","수정DPS(보통주, 기말현금)","DPS_Adj_Comm_Cash_FY_End","원/주"
